CRN,Class Name,Building,long,lat,Size,start,end,mon,tues,wed,thur,fri
87340,CS 8001 HC1,Van Leer C240,33.776065,-84.397116,31,12,13,False,False,True,False,False
90413,CS 8001 NLP,College of Computing 53,33.777576,-84.397352,2,17,18,False,False,True,False,False
88947,CS 8803 CL,Skiles 256,33.773568,-84.395957,8,14,15,False,True,False,True,False
93727,CS 8803 CYB,Mason 1133,33.776764,-84.39844,60,12,14,True,False,True,False,False
93633,CS 8803 DAA,Engineering Sci and Mechanics 202,33.772114,-84.395289,30,15,17,True,False,True,False,False
91584,CS 8803 EMS,Instructional Center 105,33.775587,-84.401213,21,15,17,False,True,False,True,False
93728,CS 8803 ETS,Scheller College of Business 223,33.776533,-84.387765,7,15,17,False,True,False,True,False
94181,CS 8803 GPU,Molecular Sciences and Engr 1224,33.779836,-84.396666,23,15,17,True,False,True,False,False
91581,CS 8803 LS,Klaus Advanced Computing 2456,33.777107,-84.395817,50,14,15,False,True,False,True,False
83029,CS 8803 MAS,Manufacture Rel Discip Complex 2404,33.777187,-84.400484,31,12,14,True,False,True,False,False
91586,CS 8803 MCI,Kendeda 210,33.778759,-84.399597,52,14,15,True,False,True,False,False
94094,CS 8803 MDS,Clough UG Learning Commons 131,33.774909,-84.396404,27,17,18,True,False,True,False,False
91619,CS 8803 PHI,Engineering Sci and Mechanics 201,33.772114,-84.395289,28,14,15,False,False,True,False,True
86390,CS 8803 PP,West Architecture 265,33.776076,-84.396114,10,9,11,False,True,False,True,False
91145,CS 8803 SG,Molecular Sciences and Engr 1224,33.779836,-84.396666,7,14,15,False,True,False,True,False
90567,CS 8803 SMR,Whitaker 1103,33.778513,-84.396825,58,12,14,True,False,True,False,False
94620,CS 8803 SRD,College of Computing 53,33.777576,-84.397352,15,8,9,False,True,False,True,False
80954,EAS 1600 A,Clough UG Learning Commons 144,33.774909,-84.396404,262,12,14,False,True,False,True,False
89505,EAS 1600 F1,Clough UG Learning Commons 357,33.774909,-84.396404,24,8,11,False,False,False,False,True
81399,EAS 1600 F2,Clough UG Learning Commons 357,33.774909,-84.396404,24,12,15,False,False,False,False,True
80960,EAS 1600 F3,Clough UG Learning Commons 357,33.774909,-84.396404,24,15,18,False,False,False,False,True
80965,EAS 1600 R1,Clough UG Learning Commons 357,33.774909,-84.396404,24,8,11,False,False,False,True,False
80961,EAS 1600 R3,Clough UG Learning Commons 357,33.774909,-84.396404,24,15,18,False,False,False,True,False
94096,EAS 1600 R4,Clough UG Learning Commons 357,33.774909,-84.396404,24,18,21,False,False,False,True,False
80958,EAS 1600 T3,Clough UG Learning Commons 357,33.774909,-84.396404,24,15,18,False,True,False,False,False
80959,EAS 1600 W1,Clough UG Learning Commons 357,33.774909,-84.396404,24,8,11,False,False,True,False,False
80962,EAS 1600 W2,Clough UG Learning Commons 357,33.774909,-84.396404,24,12,15,False,False,True,False,False
80964,EAS 1600 W3,Clough UG Learning Commons 357,33.774909,-84.396404,24,15,18,False,False,True,False,False
80957,EAS 1600 W4,Clough UG Learning Commons 357,33.774909,-84.396404,22,18,21,False,False,True,False,False
80390,EAS 1601 A,Clough UG Learning Commons 144,33.774909,-84.396404,258,14,15,False,True,False,True,False
81219,EAS 1601 F1,Kendeda 288,33.778759,-84.399597,24,8,11,False,False,False,False,True
81218,EAS 1601 F2,Kendeda 288,33.778759,-84.399597,23,12,15,False,False,False,False,True
83005,EAS 1601 F3,Kendeda 288,33.778759,-84.399597,23,15,18,False,False,False,False,True
86140,EAS 1601 R1,Kendeda 288,33.778759,-84.399597,24,8,11,False,False,False,True,False
80718,EAS 1601 R3,Kendeda 288,33.778759,-84.399597,24,15,18,False,False,False,True,False
94097,EAS 1601 R4,Kendeda 288,33.778759,-84.399597,22,18,21,False,False,False,True,False
91666,EAS 1601 T3,Kendeda 288,33.778759,-84.399597,23,15,18,False,True,False,False,False
80719,EAS 1601 W1,Kendeda 288,33.778759,-84.399597,24,8,11,False,False,True,False,False
81220,EAS 1601 W2,Kendeda 288,33.778759,-84.399597,24,12,15,False,False,True,False,False
81464,EAS 1601 W3,Kendeda 288,33.778759,-84.399597,24,15,18,False,False,True,False,False
80400,EAS 1601 W4,Kendeda 288,33.778759,-84.399597,23,18,21,False,False,True,False,False
81456,EAS 2600 A,Clough UG Learning Commons 144,33.774909,-84.396404,238,9,11,False,True,False,True,False
93143,EAS 2600 EAL,Kendeda 298,33.778759,-84.399597,15,15,18,True,False,False,False,False
